State_name,State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Abelia x grandiflora (Rovelli ex André) Rehder,Abelia x grandiflora,introduced,Abelia x grandiflora (Rovelli ex André) Rehder,Abelia x grandiflora,naturalised,(Rovelli ex André) Rehder,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Abelmoschus manihot (L.) Medik. subsp. manihot,Abelmoschus manihot subsp. manihot,introduced,Abelmoschus manihot (L.) Medik. subsp. manihot,Abelmoschus manihot subsp. manihot,doubtfully naturalised,NA,accepted,"According to the state flora is introduced, while according to the APC is doubtfully naturalised",doubtfully naturalised,introduced,established
Abelmoschus moschatus,Abelmoschus moschatus,introduced,Abelmoschus moschatus Medik.,Abelmoschus moschatus,naturalised,Medik.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Abelmoschus moschatus Medik. subsp. moschatus,Abelmoschus moschatus subsp. moschatus,native,Abelmoschus moschatus Medik. subsp. moschatus,Abelmoschus moschatus subsp. moschatus,naturalised,NA,accepted,"According to the state flora is native, while according to the APC is naturalised",naturalised,introduced,established
Abildgaardia ovata (Burm.f.) Kral,Abildgaardia ovata,native,Abildgaardia ovata (Burm.f.) Kral,Abildgaardia ovata,native,(Burm.f.) Kral,accepted,Similar for the state flora and the APC,native,native,native
Abrodictyum caudatum (Brack.) Ebihara & K.Iwats.,Abrodictyum caudatum,native,Abrodictyum caudatum (Brack.) Ebihara & K.Iwats.,Abrodictyum caudatum,native,(Brack.) Ebihara & K.Iwats.,accepted,Similar for the state flora and the APC,native,native,native
Abrodictyum obscurum (Blume) Ebihara & K.Iwats.,Abrodictyum obscurum,native,Abrodictyum obscurum (Blume) Ebihara & K.Iwats.,Abrodictyum obscurum,native,(Blume) Ebihara & K.Iwats.,accepted,Similar for the state flora and the APC,native,native,native
Abrophyllum ornans (F.Muell.) Hook.f. ex Benth.,Abrophyllum ornans,native,Abrophyllum ornans (F.Muell.) Hook.f. ex Benth.,Abrophyllum ornans,native,(F.Muell.) Hook.f. ex Benth.,accepted,Similar for the state flora and the APC,native,native,native
Abrotanella nivigena (F.Muell.) F.Muell. ex Benth.,Abrotanella nivigena,native,Abrotanella nivigena (F.Muell.) F.Muell.,Abrotanella nivigena,native,(F.Muell.) F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Abrus precatorius subsp. africanus Verdc.,Abrus precatorius subsp. africanus,introduced,Abrus precatorius subsp. africanus Verdc.,Abrus precatorius subsp. africanus,NA,Verdc.,accepted,Not recorded on the APC as present in this state,introduced,introduced,not enough information to assign degree of establishment
Abutilon cryptopetalum (F.Muell.) F.Muell. ex Benth.,Abutilon cryptopetalum,native,Abutilon cryptopetalum (F.Muell.) F.Muell. ex Benth.,Abutilon cryptopetalum,native,(F.Muell.) F.Muell. ex Benth.,accepted,Similar for the state flora and the APC,native,native,native
Abutilon fraseri (Hook.) Walp.,Abutilon fraseri,native,Abutilon fraseri (Hook.) Walp.,Abutilon fraseri,native,(Hook.) Walp.,accepted,Similar for the state flora and the APC,native,native,native
Abutilon grandifolium (Willd.) Sweet,Abutilon grandifolium,introduced,Abutilon grandifolium (Willd.) Sweet,Abutilon grandifolium,naturalised,(Willd.) Sweet,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Abutilon halophilum F.Muell.,Abutilon halophilum,native,Abutilon halophilum F.Muell. ex Schltdl.,Abutilon halophilum,native,F.Muell. ex Schltdl.,accepted,Similar for the state flora and the APC,native,native,native
Abutilon leucopetalum (F.Muell.) F.Muell. ex Benth.,Abutilon leucopetalum,native,Abutilon leucopetalum (F.Muell.) F.Muell. ex Benth.,Abutilon leucopetalum,native,(F.Muell.) F.Muell. ex Benth.,accepted,Similar for the state flora and the APC,native,native,native
Abutilon macrum F.Muell.,Abutilon macrum,native,Abutilon macrum F.Muell.,Abutilon macrum,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Abutilon malvifolium (Benth.) J.M.Black,Abutilon malvifolium,native,Abutilon malvifolium (Benth.) J.M.Black,Abutilon malvifolium,native,(Benth.) J.M.Black,accepted,Similar for the state flora and the APC,native,native,native
Abutilon megapotamicum (A.Spreng.) A.St.-Hil. & Naudin,Abutilon megapotamicum,introduced,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,introduced,introduced,not enough information to assign degree of establishment
Abutilon otocarpum F.Muell.,Abutilon otocarpum,native,Abutilon otocarpum F.Muell.,Abutilon otocarpum,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Abutilon oxycarpum (F.Muell.) F.Muell. ex Benth.,Abutilon oxycarpum,native,Abutilon oxycarpum (F.Muell.) F.Muell. ex Benth.,Abutilon oxycarpum,native,(F.Muell.) F.Muell. ex Benth.,accepted,Similar for the state flora and the APC,native,native,native
Abutilon oxycarpum var. oxycarpum (F.Muell.) F.Muell. ex Benth.,Abutilon oxycarpum var. oxycarpum,native,Abutilon oxycarpum (F.Muell.) F.Muell. ex Benth. var. oxycarpum,Abutilon oxycarpum var. oxycarpum,NA,NA,accepted,Not recorded on the APC as present in this state,native,native,native
Abutilon oxycarpum var. subsagittatum Domin,Abutilon oxycarpum var. subsagittatum,native,Abutilon oxycarpum var. subsagittatum Domin,Abutilon oxycarpum var. subsagittatum,NA,Domin,accepted,Not recorded on the APC as present in this state,native,native,native
Abutilon pictum (Gillies ex Hook. & Arn.) Walp.,Abutilon pictum,introduced,Abutilon pictum (Gillies ex Hook. & Arn.) Walp.,Abutilon pictum,naturalised,(Gillies ex Hook. & Arn.) Walp.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Abutilon theophrasti Medik.,Abutilon theophrasti,introduced,Abutilon theophrasti Medik.,Abutilon theophrasti,naturalised,Medik.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Abutilon tubulosum (A.Cunn. ex Hook.) Walp.,Abutilon tubulosum,native,Abutilon tubulosum (Hook.) Walp.,Abutilon tubulosum,native,(Hook.) Walp.,accepted,Similar for the state flora and the APC,native,native,native
Acacia acanthoclada F.Muell.,Acacia acanthoclada,native,Acacia acanthoclada F.Muell.,Acacia acanthoclada,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Acacia acanthoclada F.Muell. subsp. acanthoclada,Acacia acanthoclada subsp. acanthoclada,native,Acacia acanthoclada F.Muell. subsp. acanthoclada,Acacia acanthoclada subsp. acanthoclada,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Acacia acinacea Lindl.,Acacia acinacea,native,Acacia acinacea Lindl.,Acacia acinacea,native,Lindl.,accepted,Similar for the state flora and the APC,native,native,native
Acacia acrionastes Pedley,Acacia acrionastes,native,Acacia acrionastes Pedley,Acacia acrionastes,native,Pedley,accepted,Similar for the state flora and the APC,native,native,native
Acacia aculeatissima J.F.Macbr.,Acacia aculeatissima,native,Acacia aculeatissima J.F.Macbr.,Acacia aculeatissima,native,J.F.Macbr.,accepted,Similar for the state flora and the APC,native,native,native
Acacia adunca A.Cunn. ex G.Don,Acacia adunca,native,Acacia adunca A.Cunn. ex G.Don,Acacia adunca,native,A.Cunn. ex G.Don,accepted,Similar for the state flora and the APC,native,native,native
Acacia alata R.Br. var. alata,Acacia alata var. alata,NA,Acacia alata R.Br. var. alata,Acacia alata var. alata,NA,NA,accepted,Not recorded on the APC as present in this state,NA,NA,NA
Acacia alaticaulis Kodela & Tindale,Acacia alaticaulis,native,Acacia alaticaulis Kodela & Tindale,Acacia alaticaulis,native,Kodela & Tindale,accepted,Similar for the state flora and the APC,native,native,native
Acacia alpina F.Muell.,Acacia alpina,native,Acacia alpina F.Muell.,Acacia alpina,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Acacia amblygona A.Cunn. ex Benth.,Acacia amblygona,native,Acacia amblygona A.Cunn. ex Benth.,Acacia amblygona,native,A.Cunn. ex Benth.,accepted,Similar for the state flora and the APC,native,native,native
Acacia amoena H.L.Wendl.,Acacia amoena,native,Acacia amoena H.L.Wendl.,Acacia amoena,native,H.L.Wendl.,accepted,Similar for the state flora and the APC,native,native,native
Acacia aneura F.Muell. ex Benth.,Acacia aneura,native,Acacia aneura F.Muell. ex Benth.,Acacia aneura,native,F.Muell. ex Benth.,accepted,Similar for the state flora and the APC,native,native,native
Acacia aptaneura Maslin & J.E.Reid,Acacia aptaneura,NA,Acacia aptaneura Maslin & J.E.Reid,Acacia aptaneura,NA,Maslin & J.E.Reid,accepted,Not recorded on the APC as present in this state,NA,NA,NA
Acacia asparagoides A.Cunn.,Acacia asparagoides,native,Acacia asparagoides A.Cunn.,Acacia asparagoides,native,A.Cunn.,accepted,Similar for the state flora and the APC,native,native,native
Acacia aspera Lindl.,Acacia aspera,native,Acacia aspera Lindl.,Acacia aspera,native,Lindl.,accepted,Similar for the state flora and the APC,native,native,native
Acacia atrox Kodela,Acacia atrox,native,Acacia atrox Kodela,Acacia atrox,native,Kodela,accepted,Similar for the state flora and the APC,native,native,native
Acacia atrox Kodela subsp. atrox,Acacia atrox subsp. atrox,native,Acacia atrox Kodela subsp. atrox,Acacia atrox subsp. atrox,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Acacia atrox subsp. planitiicola Kodela & L.M.Copel.,Acacia atrox subsp. planitiicola,native,Acacia atrox subsp. planitiicola Kodela & L.M.Copel.,Acacia atrox subsp. planitiicola,native,Kodela & L.M.Copel.,accepted,Similar for the state flora and the APC,native,native,native
Acacia aulacocarpa A.Cunn. ex Benth.,Acacia aulacocarpa,native,Acacia aulacocarpa A.Cunn. ex Benth.,Acacia aulacocarpa,native,A.Cunn. ex Benth.,accepted,Similar for the state flora and the APC,native,native,native
Acacia aureocrinita B.J.Conn & Tame,Acacia aureocrinita,native,Acacia aureocrinita B.J.Conn & Tame,Acacia aureocrinita,native,B.J.Conn & Tame,accepted,Similar for the state flora and the APC,native,native,native
Acacia ausfeldii Regel,Acacia ausfeldii,native,Acacia ausfeldii Regel,Acacia ausfeldii,native,Regel,accepted,Similar for the state flora and the APC,native,native,native
Acacia baeuerlenii Maiden & R.T.Baker,Acacia baeuerlenii,native,Acacia baeuerlenii Maiden & R.T.Baker,Acacia baeuerlenii,native,Maiden & R.T.Baker,accepted,Similar for the state flora and the APC,native,native,native
Acacia baileyana F.Muell.,Acacia baileyana,native colonising,Acacia baileyana F.Muell.,Acacia baileyana,native colonising,F.Muell.,accepted,Similar for the state flora and the APC,native colonising,native,native
Acacia bakeri Maiden,Acacia bakeri,native,Acacia bakeri Maiden,Acacia bakeri,native,Maiden,accepted,Similar for the state flora and the APC,native,native,native
Acacia barringtonensis Tindale,Acacia barringtonensis,native,Acacia barringtonensis Tindale,Acacia barringtonensis,native,Tindale,accepted,Similar for the state flora and the APC,native,native,native
Acacia baueri Benth.,Acacia baueri,native,Acacia baueri Benth.,Acacia baueri,native,Benth.,accepted,Similar for the state flora and the APC,native,native,native
Acacia baueri Benth. subsp. aspera (Maiden & Betche) Pedley,Acacia baueri subsp. aspera,native,Acacia baueri subsp. aspera (Maiden & Betche) Pedley,Acacia baueri subsp. aspera,native,(Maiden & Betche) Pedley,accepted,Similar for the state flora and the APC,native,native,native
Acacia baueri Benth. subsp. baueri,Acacia baueri subsp. baueri,native,Acacia baueri Benth. subsp. baueri,Acacia baueri subsp. baueri,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Acacia beadleana R.H.Jones & J.J.Bruhl,Acacia beadleana,native,Acacia beadleana R.H.Jones & J.J.Bruhl,Acacia beadleana,native,R.H.Jones & J.J.Bruhl,accepted,Similar for the state flora and the APC,native,native,native
Acacia beckleri Tindale,Acacia beckleri,native,Acacia beckleri Tindale,Acacia beckleri,native,Tindale,accepted,Similar for the state flora and the APC,native,native,native
Acacia beckleri Tindale subsp. beckleri,Acacia beckleri subsp. beckleri,native,Acacia beckleri Tindale subsp. beckleri,Acacia beckleri subsp. beckleri,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Acacia betchei Maiden & Blakely,Acacia betchei,native,Acacia betchei Maiden & Blakely,Acacia betchei,native,Maiden & Blakely,accepted,Similar for the state flora and the APC,native,native,native
Acacia binervata DC.,Acacia binervata,native,Acacia binervata DC.,Acacia binervata,native,DC.,accepted,Similar for the state flora and the APC,native,native,native
Acacia binervia (J.C.Wendl.) J.F.Macbr.,Acacia binervia,native,Acacia binervia (J.C.Wendl.) J.F.Macbr.,Acacia binervia,native,(J.C.Wendl.) J.F.Macbr.,accepted,Similar for the state flora and the APC,native,native,native
Acacia blakei Pedley subsp. blakei,Acacia blakei subsp. blakei,native,Acacia blakei Pedley subsp. blakei,Acacia blakei subsp. blakei,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Acacia blakei Pedley subsp. diphylla (Tindale) Pedley,Acacia blakei subsp. diphylla,native,Acacia blakei subsp. diphylla (Tindale) Pedley,Acacia blakei subsp. diphylla,native,(Tindale) Pedley,accepted,Similar for the state flora and the APC,native,native,native
Acacia blayana Tindale & Court,Acacia blayana,native,Acacia blayana Tindale & Court,Acacia blayana,native,Tindale & Court,accepted,Similar for the state flora and the APC,native,native,native
Acacia boormanii Maiden,Acacia boormanii,native,Acacia boormanii Maiden,Acacia boormanii,native,Maiden,accepted,Similar for the state flora and the APC,native,native,native
Acacia brachybotrya Benth.,Acacia brachybotrya,native,Acacia brachybotrya Benth.,Acacia brachybotrya,native,Benth.,accepted,Similar for the state flora and the APC,native,native,native
Acacia brachystachya Benth.,Acacia brachystachya,native,Acacia brachystachya Benth.,Acacia brachystachya,native,Benth.,accepted,Similar for the state flora and the APC,native,native,native
Acacia brownii (Poir.) Steud.,Acacia brownii,native,Acacia brownii (Poir.) Steud.,Acacia brownii,native,(Poir.) Steud.,accepted,Similar for the state flora and the APC,native,native,native
Acacia brunioides A.Cunn. ex G.Don,Acacia brunioides,native,Acacia brunioides A.Cunn. ex G.Don,Acacia brunioides,native,A.Cunn. ex G.Don,accepted,Similar for the state flora and the APC,native,native,native
Acacia brunioides A.Cunn. ex G.Don subsp. brunioides,Acacia brunioides subsp. brunioides,native,Acacia brunioides A.Cunn. ex G.Don subsp. brunioides,Acacia brunioides subsp. brunioides,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Acacia brunioides A.Cunn. ex G.Don subsp. granitica Pedley,Acacia brunioides subsp. granitica,native,Acacia brunioides subsp. granitica Pedley,Acacia brunioides subsp. granitica,native,Pedley,accepted,Similar for the state flora and the APC,native,native,native
